ano,mes,sigla_uf,sigla_uf_nome,imposto_importacao,imposto_exportacao,ipi_fumo,ipi_bebidas,ipi_automoveis,ipi_importacoes,ipi_outros,irpf,irpj_demais_empresas,irrf_rendimentos_trabalho,irrf_rendimentos_capital,irrf_remessas_exterior,irrf_outros_rendimentos,iof,itr,ipmf,cpmf,cofins,cofins_entidades_financeiras,cofins_demais_empresas,pis_pasep,pis_pasep_entidades_financeiras,pis_pasep_demais_empresas,csll,csll_entidades_financeiras,csll_demais_empresas,cide_combustiveis_parcela_nao_dedutivel,cide_combustiveis,cpsss_1,cpsss_2,contribuicao_fundaf,refis,paes,retencoes_fonte,pagamento_unificado,outras_receitas_rfb,demais_receitas,receita_previdenciaria,receita_previdenciaria_propria,receita_previdenciaria_demais,receitas_outros_orgaos
2023,10,AP,Amapá,681994.2,0.0,0.0,0.0,90286.98,326483.35,224078.98,7790306.05,32865506.23,18135217.04,73088.08,62713.13,475718.83,2175.15,24504.06,,,,34746.64,27050033.65,,5646.33,10402831.73,,0.0,13492022.34,,1881443.4,,24921355.87,,,,,,4372725.7,,65283177.13,,,1027608.304
2023,3,AP,Amapá,134378.11,0.0,0.0,0.0,99270.07,90789.74,430744.75,3180550.14,10149872.01,6722100.89,96287.44,242782.47,487047.62,5323.89,14997.93,,,,33996.22,11282035.11,,5520.57,6596373.05,,0.0,4920571.75,,0.0,,22567150.58,,,,,,3189359.43,,56070684.37,,,1126567.402
2023,5,AP,Amapá,311844.77,0.0,0.0,0.0,74130.87,171847.78,219044.26,12426265.83,13903280.63,4389283.68,85390.94,152400.25,726059.12,16146.36,5623.41,,,,31797.87,14201375.74,,5143.19,6873610.41,,0.0,6608979.99,,0.0,,24802110.97,,,,,,4947558.04,,60920561.27,,,1119103.776
2023,12,AP,Amapá,1418749.65,0.0,0.0,0.0,53623.07,372308.46,220886.37,7106282.28,9113450.86,38715541.28,91045.98,286621.84,603905.18,6021.51,39100.75,,,,49360.89,19830530.75,,8021.15,7844171.51,,0.0,4951281.03,,0.0,,24958530.12,,,,,,5499942.52,,98062094.24,,,1207433.338
2023,1,AP,Amapá,39795.72,0.0,0.0,0.0,45074.95,15695.38,245974.69,3340413.98,32450906.75,8003175.62,409266.64,37355.34,637906.12,31218.21,6473.45,,,,86740.02,11241348.9,,14046.35,4176101.22,,0.0,14508704.5,,0.0,,22678583.32,,,,,,1452781.0,,46830534.39,,,874590.7939
2023,9,AP,Amapá,751602.2,0.0,0.0,0.0,104387.0,203417.19,217262.41,7855017.62,7635942.11,19316697.73,425614.2,237461.05,524267.67,12312.65,1418683.67,,,,31674.18,26932365.65,,5123.25,10089965.65,,17164.17,4296864.71,,0.0,,24887429.11,,,,,,5926741.24,,59482103.79,,,969178.9652
2023,8,AP,Amapá,1323602.98,0.0,0.0,0.0,117025.68,231503.46,352737.25,7981097.16,13344313.63,18698884.53,71270.3,2011324.33,505491.07,11808.36,9691.9,,,,36314.18,19633495.05,,5876.68,8448106.9,,17164.17,6944274.21,,0.0,,24763498.21,,,,,,4410502.56,,59804557.71,,,1147843.092
2023,7,AP,Amapá,4755401.22,0.0,0.0,0.0,120415.51,3271691.05,254071.17,8399946.17,30546903.63,17410948.45,70353.61,124721.21,471540.72,4416.26,8588.03,,,,40832.92,16994229.41,,6658.02,8892716.17,,17164.17,13814005.2,,0.0,,24646182.27,,,,,,4131898.47,,62013831.34,,,1024579.788
2023,2,AP,Amapá,63765.85,0.0,0.0,0.0,64138.94,31339.1,239928.52,2743067.83,11204056.94,7218899.96,61997.5,516194.63,428724.62,24733.24,8759.65,,,,52510.97,10843672.34,,8506.89,6057794.04,,0.0,5420233.15,,0.0,,22829776.17,,,,,,4093177.11,,53202272.38,,,886285.6621
2023,6,AP,Amapá,470499.08,0.0,0.0,0.0,114174.17,76650.36,233008.56,8475873.91,8317924.31,19924852.49,428705.13,649352.54,568827.11,14145.58,7590.71,,,,32495.62,15265308.2,,5255.0,8074584.61,,0.0,4382985.07,,0.0,,24776398.47,,,,,,3966.746,,59490.302,,,1112.371
2023,1,BA,Bahia,90148618.35,20145.46,9694.88,17389554.72,0.0,49970729.96,83144021.25,49381728.01,672746102.1,340784088.6,35141346.41,48086147.19,26882501.83,4699641.97,1127801.73,,,,7577918.52,674992260.5,,1346731.57,214531726.5,,11645995.72,424079903.4,,5662.9,,69562510.94,,,,,,17646599.67,,1670458872.0,,,23060777.2
2023,2,BA,Bahia,62345934.22,-175.86,1974.83,10971430.53,0.0,30913567.82,71608777.5,42660907.18,234690065.0,246084051.9,19060725.71,26708344.12,18568202.96,5476583.97,1037963.15,,,,2072152.32,592995769.1,,336070.33,178867048.8,,1203801.19,156318677.6,,47.2,,70836169.87,,,,,,27406731.03,,1587251623.0,,,22784282.47
2023,5,BA,Bahia,71853108.83,-676.05,1002.3,13693189.62,0.0,34562669.68,82433741.57,354711991.6,243318524.1,254763687.1,15778336.87,43171397.0,64376092.98,4383452.67,1107393.28,,,,3370802.76,614495585.7,,545981.31,190743804.8,,1977737.11,161259068.5,,83591.46,,75191680.14,,,,,,32188696.11,,1757564785.0,,,29641906.82
2023,12,BA,Bahia,52321319.56,-177.58,9759.26,7230747.47,0.0,23721894.81,84029723.28,115791773.9,216719661.2,284628102.2,164206289.1,145132131.0,23876564.93,5189856.13,4072917.75,,,,3797601.98,605559823.0,,616362.69,195229374.5,,2155728.05,170514671.1,,31479155.58,,90820104.15,,,,,,6140340.0,,2519174978.0,,,39738835.57
2023,6,BA,Bahia,63728422.17,-257.08,8149.08,7551447.95,10340.46,29940267.25,82402698.88,177197710.6,209780513.3,243396308.8,20382828.55,26623362.12,25410138.65,4411162.04,894392.24,,,,4736296.95,581715202.6,,766957.71,182746376.9,,2766547.67,162180634.0,,2221.8,,75228558.39,,,,,,14987.881,,1753289.168,,,38734.304
2023,7,BA,Bahia,69742709.54,-391.2,6693.85,9125374.61,3396.36,31001673.62,72951832.75,159552687.9,571442058.4,236495926.7,27650653.86,18575587.26,20532820.5,4238130.15,1077612.63,,,,2043088.09,557791468.5,,364755.94,179601721.1,,1184355.17,357542173.2,,8302330.74,,75195637.96,,,,,,32197263.37,,1815973615.0,,,26295696.09
2023,4,BA,Bahia,63982263.5,-554.38,2123.1,10048975.33,0.0,31630018.19,68031481.69,56799624.02,578340879.6,287082061.9,23899339.76,27528604.74,18910839.1,4181324.77,1092726.88,,,,2568316.58,574671525.5,,416565.68,180894396.8,,1590616.34,375500417.9,,1716.82,,71005783.25,,,,,,6182398.92,,1703991608.0,,,22923951.53
2023,3,BA,Bahia,69228155.11,-536.09,3011.28,11164631.08,15604.08,37850205.21,66032200.63,49026747.81,256284874.1,209243625.0,17293809.91,38019361.16,22880005.59,6525429.01,1934761.47,,,,2430757.65,524205104.6,,394377.14,171492457.1,,46852053.58,167480453.2,,11546.37,,70843277.48,,,,,,38087322.65,,1683890341.0,,,21773444.07
2023,11,BA,Bahia,67208573.39,-148.96,16101.53,7172659.11,0.0,33320737.52,73913679.47,116844451.5,243329546.1,252806553.9,17613677.71,15450739.91,19440677.01,4257961.83,4452533.65,,,,3819592.55,608757921.6,,620096.76,195260721.9,,2151164.74,304825524.0,,9654971.47,,136163256.7,,,,,,7066780.21,,1667062756.0,,,31267502.81
2023,8,BA,Bahia,78532127.47,2451.37,9426.87,11107838.36,11328.58,34114278.35,67743778.3,128941106.7,242291203.1,198185728.6,21131418.32,22200422.45,20075112.33,3657511.76,2174669.27,,,,4732994.77,558461085.8,,768476.53,195455408.1,,2760024.9,172592843.3,,11131796.07,,75267652.87,,,,,,32714562.32,,1737697736.0,,,57400961.17
2023,9,BA,Bahia,70491965.38,-216.36,10653.46,10759467.4,0.0,31773027.82,71134248.83,123701536.1,235222115.6,229065241.9,20074930.36,37761487.52,22435662.61,3806394.77,63333070.5,,,,5950205.49,653853132.0,,966071.82,217840188.2,,3420107.88,156890060.4,,8549041.91,,75480149.09,,,,,,16718040.8,,1758789889.0,,,33919373.58
2023,10,BA,Bahia,89247892.78,-514.32,16382.76,12949949.84,21150.94,39291059.35,60384361.22,158956957.0,631555957.4,267912444.4,23342277.45,30212948.19,48850005.54,5656490.83,5599858.46,,,,4655366.19,555115973.4,,755839.12,180488014.2,,2716196.76,392561119.5,,10312891.66,,75706723.38,,,,,,11972556.16,,1721163852.0,,,34164940.06
2023,2,CE,Ceará,43120823.93,-35.5,0.0,9462875.45,0.0,17852426.03,19397033.01,24829069.48,152196573.8,185131346.8,25944865.56,9129573.36,16679765.97,8127689.62,281552.41,,,,36509803.48,351995223.2,,5943160.54,112786394.9,,23542739.5,109299741.9,,0.0,,53812354.44,,,,,,14884583.6,,1035620479.0,,,11796875.49
2023,1,CE,Ceará,61114377.07,3.55,0.0,9494689.41,0.0,25486050.21,33771968.88,27623028.76,504846680.9,293939875.7,58190230.39,15726872.46,21112930.88,12858429.96,130333.58,,,,45171586.42,458833383.7,,7351243.58,143796985.3,,29413056.29,288857311.9,,0.0,,52810383.93,,,,,,15937139.97,,1113550923.0,,,29112385.02
2023,8,CE,Ceará,48241018.21,-49.77,0.0,12575029.49,0.0,24000695.61,28113065.46,69075084.44,166798229.1,177803851.2,27018602.47,8879922.32,17430846.46,8730123.33,330409.56,,,,35753560.23,427461821.0,,5821356.2,128620907.1,,22861279.2,115948506.5,,1800010.87,,57558400.36,,,,,,86368565.39,,1108381825.0,,,10977538.79
2023,12,CE,Ceará,72521168.33,685.71,0.0,18822781.65,19673.47,28066357.82,21113024.62,55879209.69,152911150.2,230504283.0,95124042.74,17262838.45,19148837.69,13090258.36,327308.2,,,,32860408.51,480629366.7,,5767073.56,140359254.0,,20298883.81,127617257.9,,0.0,,67808173.63,,,,,,32554132.76,,1825610627.0,,,10191587.0
2023,11,CE,Ceará,44236165.02,2256.86,0.0,15178163.68,8268.53,19149873.02,29261377.34,64418585.64,148414675.0,205555231.5,24693560.19,10121428.87,16732505.32,17802187.89,363503.62,,,,33333134.43,438382649.7,,5425737.06,130842311.6,,21523804.04,115378527.9,,2450000.0,,106434342.5,,,,,,17630934.4,,1122023985.0,,,10458009.63
2023,10,CE,Ceará,52657499.5,-12.17,0.0,13416538.81,0.0,25186612.5,31499814.42,61715975.41,407909764.1,191967587.2,35199013.89,12016068.28,13092609.44,10039891.45,1539006.57,,,,34700106.15,478108306.6,,5648387.14,137572734.1,,21313060.83,271365818.6,,2295360.7,,64670211.26,,,,,,14079436.42,,1126429824.0,,,32426306.38
2023,9,CE,Ceará,67698020.35,-38.56,0.0,13750109.02,0.0,26391243.72,27976639.21,62073545.28,146460764.9,183342444.7,42034233.62,16117156.15,12632606.65,8081165.82,2628446.53,,,,34156097.63,467125712.6,,5560284.7,137359322.8,,21596682.62,109081107.5,,2100000.0,,56857665.77,,,,,,19315232.98,,1122397566.0,,,11418658.12
2023,6,CE,Ceará,61273492.7,-51.87,0.0,8727200.29,0.0,24321262.34,28723580.66,85871965.24,129964655.4,174903674.8,79708384.4,7249963.97,18417681.5,11606510.53,153054.32,,,,31436692.28,473193967.2,,5129615.35,137564831.9,,20917947.86,95688929.38,,0.0,,57668009.52,,,,,,31473.799,,1130810.519,,,18221.101
2023,5,CE,Ceará,63984039.96,-49.43,0.0,5349074.78,0.0,29446367.16,32551922.59,173260655.1,135625300.6,188698989.0,34611571.98,9951444.25,17305435.1,8235439.01,136117.02,,,,32542594.45,408337945.5,,5297430.46,128333488.8,,27879602.87,101411727.7,,0.0,,58338391.92,,,,,,28498709.33,,1119799924.0,,,11689813.87
2023,7,CE,Ceará,52641929.92,65.69,0.0,10427098.34,0.0,25653545.13,23184722.33,77938395.4,350977975.9,211561994.6,40060594.32,32139027.43,22570996.39,17939097.38,106320.15,,,,34424285.62,414220348.8,,5606511.17,132215149.3,,21227430.85,239598071.5,,700000.0,,51435488.89,,,,,,211745891.4,,1133849440.0,,,34144175.96
2023,3,CE,Ceará,38766547.01,-53.35,0.0,8610485.91,25625.4,16303499.97,18455969.44,27267015.28,239336005.8,204175402.8,24816532.16,39359134.23,17407756.21,9475557.68,312200.3,,,,30391831.48,352598384.1,,4947180.89,109155508.3,,409336823.6,112454490.0,,0.0,,53733916.63,,,,,,27113074.33,,1078274496.0,,,16049724.9
2023,4,CE,Ceará,40471898.11,2.48,0.0,6435106.44,14867.49,18706134.67,42087544.45,31756774.83,382185906.7,220009139.2,38607232.17,10282814.99,17169339.18,9651433.18,228323.81,,,,35454575.85,432361419.6,,5777271.34,125047237.1,,21867310.95,242147208.9,,0.0,,53875293.71,,,,,,32091999.59,,1076222339.0,,,31193507.64
